waypoint1	waypoint2	distance_m	duration_s
Humboldt Peak, Colorado	Culebra Peak, Colorado	167471	11100
Humboldt Peak, Colorado	Mt.Lindsey, Colorado	114392	8350
Humboldt Peak, Colorado	LittleBear Peak, Colorado	141162	10498
Humboldt Peak, Colorado	Mt.Sherman, Colorado	207244	11609
Humboldt Peak, Colorado	Redcloud Peak, Colorado	321382	18056
Humboldt Peak, Colorado	Pyramid Peak, Colorado	258215	15519
Humboldt Peak, Colorado	NorthMaroon Peak, Colorado	258248	15512
Humboldt Peak, Colorado	Wilson Peak, Colorado	409058	20299
Humboldt Peak, Colorado	Wetterhorn Peak, Colorado	310900	18446
Humboldt Peak, Colorado	Huron Peak, Colorado	184389	11368
Humboldt Peak, Colorado	Sunshine Peak, Colorado	318433	17397
Mt.Bierstadt, Colorado	Conundrum Peak, Colorado	227122	12708
Mt.Bierstadt, Colorado	Handies Peak, Colorado	381291	23631
Mt.Bierstadt, Colorado	Culebra Peak, Colorado	374169	16311
Mt.Bierstadt, Colorado	Mt.Lindsey, Colorado	338238	14233
Mt.Bierstadt, Colorado	LittleBear Peak, Colorado	308180	14189
Mt.Bierstadt, Colorado	Mt.Sherman, Colorado	121951	7067
Mt.Bierstadt, Colorado	Redcloud Peak, Colorado	369102	18138
Mt.Bierstadt, Colorado	Pyramid Peak, Colorado	219973	12893
Mt.Bierstadt, Colorado	NorthMaroon Peak, Colorado	220006	12887
Mt.Bierstadt, Colorado	Wilson Peak, Colorado	456777	20381
Mt.Bierstadt, Colorado	Wetterhorn Peak, Colorado	358620	18528
Mt.Bierstadt, Colorado	Huron Peak, Colorado	169879	9059
Mt.Bierstadt, Colorado	Sunshine Peak, Colorado	366153	17478
Conundrum Peak, Colorado	Handies Peak, Colorado	325692	19752
Culebra Peak, Colorado	Conundrum Peak, Colorado	380649	18360
Conundrum Peak, Colorado	Mt.Lindsey, Colorado	344718	16282
LittleBear Peak, Colorado	Conundrum Peak, Colorado	314659	16238
Mt.Sherman, Colorado	Conundrum Peak, Colorado	129868	8526
Redcloud Peak, Colorado	Conundrum Peak, Colorado	375581	20187
Conundrum Peak, Colorado	Pyramid Peak, Colorado	37328	3749
Conundrum Peak, Colorado	NorthMaroon Peak, Colorado	37361	3742
Wilson Peak, Colorado	Conundrum Peak, Colorado	341358	17028
Conundrum Peak, Colorado	Wetterhorn Peak, Colorado	365099	20576
Conundrum Peak, Colorado	Huron Peak, Colorado	120783	8814
Conundrum Peak, Colorado	Sunshine Peak, Colorado	372632	19527
Culebra Peak, Colorado	Handies Peak, Colorado	325854	22846
Mt.Lindsey, Colorado	Handies Peak, Colorado	289924	20769
LittleBear Peak, Colorado	Handies Peak, Colorado	266327	20942
Mt.Sherman, Colorado	Handies Peak, Colorado	329835	22077
Redcloud Peak, Colorado	Handies Peak, Colorado	70582	12241
Pyramid Peak, Colorado	Handies Peak, Colorado	316248	19854
NorthMaroon Peak, Colorado	Handies Peak, Colorado	316281	19847
Wilson Peak, Colorado	Handies Peak, Colorado	104651	10131
Wetterhorn Peak, Colorado	Handies Peak, Colorado	30764	6925
Huron Peak, Colorado	Handies Peak, Colorado	306980	21837
Sunshine Peak, Colorado	Handies Peak, Colorado	67633	11581
Culebra Peak, Colorado	Mt.Lindsey, Colorado	76526	5312
Culebra Peak, Colorado	LittleBear Peak, Colorado	86168	6796
Culebra Peak, Colorado	Mt.Sherman, Colorado	322555	14630
Culebra Peak, Colorado	Redcloud Peak, Colorado	306383	16858
Culebra Peak, Colorado	Pyramid Peak, Colorado	373526	18540
Culebra Peak, Colorado	NorthMaroon Peak, Colorado	373559	18533
Culebra Peak, Colorado	Wilson Peak, Colorado	499464	22709
Culebra Peak, Colorado	Wetterhorn Peak, Colorado	302993	17755
Culebra Peak, Colorado	Huron Peak, Colorado	299699	14390
Culebra Peak, Colorado	Sunshine Peak, Colorado	303433	16198
LittleBear Peak, Colorado	Mt.Lindsey, Colorado	50237	4723
Mt.Sherman, Colorado	Mt.Lindsey, Colorado	286624	12557
Redcloud Peak, Colorado	Mt.Lindsey, Colorado	270452	14785
Pyramid Peak, Colorado	Mt.Lindsey, Colorado	337595	16467
NorthMaroon Peak, Colorado	Mt.Lindsey, Colorado	337628	16460
Wilson Peak, Colorado	Mt.Lindsey, Colorado	463533	20636
Wetterhorn Peak, Colorado	Mt.Lindsey, Colorado	267062	15682
Huron Peak, Colorado	Mt.Lindsey, Colorado	263768	12317
Sunshine Peak, Colorado	Mt.Lindsey, Colorado	267503	14125
LittleBear Peak, Colorado	Mt.Sherman, Colorado	256565	12538
LittleBear Peak, Colorado	Redcloud Peak, Colorado	246855	15031
LittleBear Peak, Colorado	Pyramid Peak, Colorado	307536	16448
LittleBear Peak, Colorado	NorthMaroon Peak, Colorado	307569	16441
LittleBear Peak, Colorado	Wilson Peak, Colorado	433474	20617
LittleBear Peak, Colorado	Wetterhorn Peak, Colorado	243466	15928
LittleBear Peak, Colorado	Huron Peak, Colorado	233710	12298
LittleBear Peak, Colorado	Sunshine Peak, Colorado	243906	14371
Mt.Sherman, Colorado	Redcloud Peak, Colorado	317618	16534
Mt.Sherman, Colorado	Pyramid Peak, Colorado	122803	8773
Mt.Sherman, Colorado	NorthMaroon Peak, Colorado	122836	8766
Mt.Sherman, Colorado	Wilson Peak, Colorado	405293	18777
Mt.Sherman, Colorado	Wetterhorn Peak, Colorado	307136	16923
Mt.Sherman, Colorado	Huron Peak, Colorado	62820	5161
Mt.Sherman, Colorado	Sunshine Peak, Colorado	314669	15874
Redcloud Peak, Colorado	Pyramid Peak, Colorado	368617	20432
Redcloud Peak, Colorado	NorthMaroon Peak, Colorado	368650	20426
Redcloud Peak, Colorado	Wilson Peak, Colorado	292630	15936
Redcloud Peak, Colorado	Wetterhorn Peak, Colorado	47911	7162
Redcloud Peak, Colorado	Huron Peak, Colorado	294791	16282
Redcloud Peak, Colorado	Sunshine Peak, Colorado	2949	660
NorthMaroon Peak, Colorado	Pyramid Peak, Colorado	665	96
Wilson Peak, Colorado	Pyramid Peak, Colorado	334175	17243
Wetterhorn Peak, Colorado	Pyramid Peak, Colorado	357917	20793
Huron Peak, Colorado	Pyramid Peak, Colorado	113601	9031
Sunshine Peak, Colorado	Pyramid Peak, Colorado	365450	19743
Wilson Peak, Colorado	NorthMaroon Peak, Colorado	334262	17230
Wetterhorn Peak, Colorado	NorthMaroon Peak, Colorado	358004	20780
Huron Peak, Colorado	NorthMaroon Peak, Colorado	113687	9018
Sunshine Peak, Colorado	NorthMaroon Peak, Colorado	365536	19731
Wilson Peak, Colorado	Wetterhorn Peak, Colorado	282135	16272
Wilson Peak, Colorado	Huron Peak, Colorado	382468	18531
Wilson Peak, Colorado	Sunshine Peak, Colorado	289668	15222
Wetterhorn Peak, Colorado	Huron Peak, Colorado	284309	16732
Wetterhorn Peak, Colorado	Sunshine Peak, Colorado	44962	6476
Huron Peak, Colorado	Sunshine Peak, Colorado	291800	15613
