waypoint1	waypoint2	distance_m	duration_s
Mt.Antero, Colorado	Redcloud Peak, Colorado	266148	14956
Mt.Antero, Colorado	Pyramid Peak, Colorado	152949	10598
Mt.Antero, Colorado	NorthMaroon Peak, Colorado	152982	10591
Mt.Antero, Colorado	Wilson Peak, Colorado	353823	17199
Mt.Antero, Colorado	Wetterhorn Peak, Colorado	255666	15345
Mt.Antero, Colorado	Huron Peak, Colorado	79122	6447
Mt.Antero, Colorado	Sunshine Peak, Colorado	263199	14296
Quandary Peak, Colorado	Torreys Peak, Colorado	68198	4871
Mt.Evans, Colorado	Torreys Peak, Colorado	79039	5840
Mt.Wilson, Colorado	Torreys Peak, Colorado	502455	21045
Mt.Cameron, Colorado	Torreys Peak, Colorado	80460	5856
Torreys Peak, Colorado	Mt.Shavano, Colorado	197566	9998
Torreys Peak, Colorado	Mt.Princeton, Colorado	161779	9641
Mt.Belford, Colorado	Torreys Peak, Colorado	127817	7093
Mt.Yale, Colorado	Torreys Peak, Colorado	158201	7947
Crestone, Colorado	Torreys Peak, Colorado	263104	11729
Mt.Bross, Colorado	Torreys Peak, Colorado	80202	5829
KitCarson, Colorado	Torreys Peak, Colorado	328705	12371
Tabeguache Peak, Colorado	Torreys Peak, Colorado	199094	10378
Torreys Peak, Colorado	Mt.Oxford, Colorado	125540	6855
ElDiente Peak, Colorado	Torreys Peak, Colorado	502462	21046
Mt.Democrat, Colorado	Torreys Peak, Colorado	86762	5941
Mt.Sneffels, Colorado	Torreys Peak, Colorado	474571	20643
Pikes Peak, Colorado	Torreys Peak, Colorado	239201	11307
Torreys Peak, Colorado	SnowmassMtn., Colorado	253779	12587
Challenger Point, Colorado	Torreys Peak, Colorado	266730	12357
Mt.Columbia, Colorado	Torreys Peak, Colorado	148293	8074
Humboldt Peak, Colorado	Torreys Peak, Colorado	282425	14848
Mt.Bierstadt, Colorado	Torreys Peak, Colorado	34555	3560
Conundrum Peak, Colorado	Torreys Peak, Colorado	203512	11827
Torreys Peak, Colorado	Handies Peak, Colorado	486779	23767
Culebra Peak, Colorado	Torreys Peak, Colorado	396246	17945
Torreys Peak, Colorado	Mt.Lindsey, Colorado	360315	15867
LittleBear Peak, Colorado	Torreys Peak, Colorado	330256	15823
Mt.Sherman, Colorado	Torreys Peak, Colorado	98342	6185
Redcloud Peak, Colorado	Torreys Peak, Colorado	391178	19772
Pyramid Peak, Colorado	Torreys Peak, Colorado	196363	12012
NorthMaroon Peak, Colorado	Torreys Peak, Colorado	196396	12005
Wilson Peak, Colorado	Torreys Peak, Colorado	502445	21043
Wetterhorn Peak, Colorado	Torreys Peak, Colorado	380696	20162
Huron Peak, Colorado	Torreys Peak, Colorado	136380	8399
Sunshine Peak, Colorado	Torreys Peak, Colorado	388229	19112
Quandary Peak, Colorado	Mt.Evans, Colorado	135681	8030
Quandary Peak, Colorado	Mt.Wilson, Colorado	416690	18699
Quandary Peak, Colorado	Mt.Cameron, Colorado	18693	1978
Quandary Peak, Colorado	Mt.Shavano, Colorado	135392	6680
Quandary Peak, Colorado	Mt.Princeton, Colorado	104714	6532
Quandary Peak, Colorado	Mt.Belford, Colorado	121220	6069
Quandary Peak, Colorado	Mt.Yale, Colorado	103644	5046
Quandary Peak, Colorado	Crestone, Colorado	200931	8411
Quandary Peak, Colorado	Mt.Bross, Colorado	18434	1952
Quandary Peak, Colorado	KitCarson, Colorado	345108	14007
Quandary Peak, Colorado	Tabeguache Peak, Colorado	136921	7060
Quandary Peak, Colorado	Mt.Oxford, Colorado	118943	5831
Quandary Peak, Colorado	ElDiente Peak, Colorado	416698	18700
Quandary Peak, Colorado	Mt.Democrat, Colorado	24994	2064
Quandary Peak, Colorado	Mt.Sneffels, Colorado	388807	18297
Quandary Peak, Colorado	Pikes Peak, Colorado	173803	9218
Quandary Peak, Colorado	SnowmassMtn., Colorado	247063	12471
Quandary Peak, Colorado	Challenger Point, Colorado	204557	9039
Quandary Peak, Colorado	Mt.Columbia, Colorado	99567	5558
Quandary Peak, Colorado	Humboldt Peak, Colorado	222382	11285
Quandary Peak, Colorado	Mt.Bierstadt, Colorado	91442	5045
Quandary Peak, Colorado	Conundrum Peak, Colorado	210758	11341
Quandary Peak, Colorado	Handies Peak, Colorado	341194	21947
Quandary Peak, Colorado	Culebra Peak, Colorado	334073	14627
Quandary Peak, Colorado	Mt.Lindsey, Colorado	298142	12550
